TRUE,Steps/Details,
Name,Person who is checking/validating server,
Sanity check start time,,
Server live time,"When we make the server active in twilix.Server table.

Once the server is active, we will be making outbound calls from the same",
Google Chat Thread,Thread for contextual information (discussion between SRO & Voice),
Deploy all services from master - check latest version,,
server state,server state to be dead before sanity,
Basic checks,"- check hostname is proper (command hostname)
- check if timezone is IST (command date)


Hostname is used by AHN/Amix/Eventshipper while creating AMI events and 
shipping them to asteriskStoreDB. This has to be correct on the server end, so that
we only ship events with the appropriate server name ",
IP validation,date,
span mapping,"Compare the span properties in sillyio.yml with data in Pri table (TwilixDb-SmallTable):

dB query (in twilix-smalltable-replica):
SELECT span, pilot FROM Pri WHERE card IN (SELECT id FROM Card WHERE server IN (SELECT id FROM Server WHERE code = ""080_24"")); #Change code as necessary.

or 
 SELECT span, pilot FROM Pri WHERE card IN (SELECT id FROM Card WHERE server IN (SELECT id FROM Server WHERE code = ""080_31"")) order by span asc;  

On telephone server:
sed -n '64,79 p' /home/asterisk/adhearsion/adhearsion/sillyio/components/sillyio/sillyio.yml | awk '{print $1, $12}'

new:
-------
less /home/asterisk/adhearsion/adhearsion/sillyio/components/sillyio/sillyio.yml | grep ob_channel_threshold | awk '{ print $1, $12}'

with operator: 
less /home/asterisk/adhearsion/adhearsion/sillyio/components/sillyio/sillyio.yml | grep ob_channel_threshold | awk '{ print $1, $12, $15}'


Make sure the span and the pilot numbers match.


In twilix small table, we store the span and pilot connected to the span. When an incoming call lands on a server, the appropriate span mappings on the server in sillyio.yml are 
used to determine the operator and other information. If this span mapping is wrong bad things can happen. [add more info here]",
Recording Directory Permission,"ll /var/log/exotel/recordings/sgp1/
ll /var/log/exotel/recordings/mum1/
ll /var/log/exotel/recordings/causix_recordings/

permissom to  be 776",
MySQL status,"sudo service mysqld status

Mysqld is used by Amix/Eventshipper to add AMI/CDR/uidstampmap events to the table for shipping
them later to the common asteriskStoreDB",
Beanstalkd status,"sudo status beanstalkd

Beanstalkd is used by recogenix-ts for enqueing recordings for further processing. 
Once a recording is enqued, the recording is then picked up by recogenix-ts and shipped to a temp bucket on S3. Recogenix-cloud picks up recordings from the temp bucket and ships it to the correct customer bucket. 

For centos7 servers: 
sudo systemctl status beanstalkd or sudo status beanstalkd",
Rsyslog status,"sudo service rsyslog status

rsyslog is a very popular service for shipping server related metrics. We use it to send various metrics from the telephone servers. Metrics from all TS stamps is sent to sgp1 cluster after ts infra merger ",
Asterisk status,sudo service asterisk status,
Ahn check,"sudo status ahn
run the same command at one min interval make sure that process id is not changed

AHN is our inhouse software for controlling the calls. AHN sends commands to asterisk from our cloud layer to control and direct calls. ",
Amix status,"sudo status amix
cSame as ahn
- check whether amix is able to write things in DB


Amix is also an inhouse software that picks up events from the AMI port and posts it to the DB.",
EventShipper status,sudo status eventshipper ,
Firefoot-ts,"
sudo service firefoot-ts status",
Connectivity to twilix-internal,"curl 'https://twilix.exotel.com/v1/accounts'
curl -k 'https://internal.twilix.exotel.com/v1/accounts' 
curl 'https://twilix.mum1.exotel.com/v1/accounts'
curl -k 'https://internal.twilix.mum1.exotel.com/v1/accounts'
Above two commands should give some response.


Twilix and internal.twilix to pick up details like the voice-flow that the particular call has to connect to from both the stamps. ",
Connectivity to appengine,"curl 'https://appengine.exotel.com/auth/login'
curl 'https://appengine.mum1.exotel.com/auth/login'

make sure you got some response from both the stamps and not error.

Appengine deals with executing the voice-flow, maintaining the number free/busy as well as updating the status of the call at the end of the call,",
irqbalance status,"sudo service irqbalance status

irqbalance is a service which maintains the interrupts across the CPU cores. If one CPU core is bombarded with a lot of interrupts, this results in degraded CPU utilization. ",
fail2ban status,"sudo service fail2ban status

If it is stopped start it - sudo service fail2ban start

Verify:
Status
|- Number of jail:      4
`- Jail list:   asterisk-tcp, asterisk-udp, ssh, vsftpd


fail2ban is a service which checks for erroneous/malicious connections to ports on the servers. This allows servers to put malicious IP's into a jail so that the ports aren't flooded with requests. ",
