AccountSid,PhysicalNumber,VirtualNumber,Usage,_state
tvscredit3m,01135048902,01144739681,1,pn
tvscredit3m,01135048903,01144739684,1,pn
tvscredit3m,01135048904,01144739685,1,pn
tvscredit3m,01135048905,01144739686,1,pn
tvscredit3m,01135048906,01144739687,1,pn
tvscredit3m,01135048907,01144739692,1,pn
tvscredit3m,01135048908,01144739693,1,pn
tvscredit3m,01135048909,01144739694,1,pn
tvscredit3m,01135048910,01144739697,1,pn
tvscredit3m,01135048911,01144739698,1,pn
tvscredit3m,08035791600,02047170504,1,pn
tvscredit3m,02069105268,02047170504,1,pn
tvscredit3m,08035791601,02047170507,1,pn
tvscredit3m,02069105333,02047170507,1,pn
tvscredit3m,08035791602,02047170509,1,pn
tvscredit3m,02069105370,02047170509,1,pn
tvscredit3m,08062410599,02047170523,1,pn
tvscredit3m,08035791603,02047170523,1,pn
tvscredit3m,02069105331,02047170523,1,pn
tvscredit3m,02269913050,02047170523,1,pn
tvscredit3m,08035791604,02047170527,1,pn
tvscredit3m,02069105422,02047170527,1,pn
tvscredit3m,02069105163,02047170529,1,pn
tvscredit3m,08035791605,02047170529,1,pn
tvscredit3m,02235511227,02047170530,1,pn
tvscredit3m,08035791606,02047170530,1,pn
tvscredit3m,02035025149,02047170530,1,pn
tvscredit3m,02269913084,02047170530,1,pn
tvscredit3m,08035791607,02047170900,1,pn
tvscredit3m,08035791608,02047170906,1,pn
tvscredit3m,08035791609,02047170916,1,pn
tvscredit3m,01169098616,02047170916,1,pn
tvscredit3m,08035791592,02048566821,1,pn
tvscredit3m,08035791593,02048566823,1,pn
tvscredit3m,04435083001,02048566861,1,pn
tvscredit3m,03335074847,02048566861,255,pn
tvscredit3m,03335074847,02048566861,1,pn
tvscredit3m,08035791594,02048566861,1,pn
tvscredit3m,08038024101,02048566861,1,pn
tvscredit3m,02241780001,02048566861,1,pn
tvscredit3m,08035791595,02048566865,1,pn
tvscredit3m,02047170785,02071528977,1,pn
tvscredit3m,08035791596,02071528977,1,pn
tvscredit3m,08035791597,02071529006,1,pn
tvscredit3m,02047170786,02071529006,1,pn
tvscredit3m,02047170787,02071529010,1,pn
tvscredit3m,08035791598,02071529010,1,pn
tvscredit3m,08035791599,02071529080,1,pn
tvscredit3m,01169053087,02071529080,1,pn
tvscredit3m,03369019911,02071529080,1,pn
tvscredit3m,02047170788,02071529080,1,pn
tvscredit3m,02269912471,02241499165,1,pn
tvscredit3m,01169053078,02241499165,1,pn
tvscredit3m,01135054020,02241499165,1,pn
tvscredit3m,01135054019,02241499852,1,pn
tvscredit3m,02269912472,02241499852,1,pn
tvscredit3m,01169053077,02241499852,1,pn
tvscredit3m,01169053076,02241499853,1,pn
tvscredit3m,02269912473,02241499853,1,pn
tvscredit3m,01135054017,02241499853,1,pn
tvscredit3m,02235037589,02249360279,1,pn
tvscredit3m,02269912463,02249360279,1,pn
tvscredit3m,02235037616,02249360501,1,pn
tvscredit3m,02269912464,02249360501,1,pn
tvscredit3m,02235037709,02249360517,1,pn
tvscredit3m,02269912465,02249360517,1,pn
tvscredit3m,02235037736,02249360540,1,pn
